f52655d9d84190bf09c2605bc3fd04f03d5ec431,John Curd,John Curd,"https://github.com/Hygieia/Hygieia/raw/f52655d9d84190bf09c2605bc3fd04f03d5ec431/api/README.md
"
806a8ce7b198a103c4d86a32ab2651d75b4a46ea,amp5208,amp5208,"https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/api/src/test/java/com/capitalone/dashboard/rest/FeatureControllerTest.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/api/src/test/java/com/capitalone/dashboard/service/FeatureServiceImplTest.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/core/src/main/java/com/capitalone/dashboard/model/Feature.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/core/src/test/java/com/capitalone/dashboard/repository/FeatureRepositoryTest.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/jira-feature-collector/src/main/java/com/capitalone/dashboard/client/story/StoryDataClientImpl.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/versionone-feature-collector/src/main/java/com/capitalone/dashboard/client/story/StoryDataClientImpl.java
https://github.com/Hygieia/Hygieia/raw/806a8ce7b198a103c4d86a32ab2651d75b4a46ea/versionone-feature-collector/src/main/resources/v1api-queries/story.st
"
a61e617301f173b1dd7c1f4e3a929545b2a335fe,Jay Hogan,Jay Hogan,"https://github.com/Hygieia/Hygieia/raw/a61e617301f173b1dd7c1f4e3a929545b2a335fe/README.md
"
adb7a44ceaf473ee7378099e933050b1efc44e51,Jay Hogan,Jay Hogan,"https://github.com/Hygieia/Hygieia/raw/adb7a44ceaf473ee7378099e933050b1efc44e51/README.md
"
aacbff85b0c1bf05dc32c1b2d3019915edd15732,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/aacbff85b0c1bf05dc32c1b2d3019915edd15732/jenkins-build-collector/docker/jenkins-build-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/aacbff85b0c1bf05dc32c1b2d3019915edd15732/jenkins-cucumber-test-collector/docker/jenkins-cucumber-test-properties-builder.sh
"
d9c1274fb1db2ef152f3fd7b721c614f6c6a537d,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/.gitignore
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-build-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-build-collector/docker/jenkins-build-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-build-collector/pom.xml
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-cucumber-test-collector/README.md
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-cucumber-test-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-cucumber-test-collector/docker/jenkins-cucumber-test-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jenkins-cucumber-test-collector/pom.xml
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/jira-feature-collector/docker/jira-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/sonar-codequality-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/sonar-codequality-collector/docker/sonar-codequality-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/d9c1274fb1db2ef152f3fd7b721c614f6c6a537d/sonar-codequality-collector/pom.xml
"
9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2,amp5208,amp5208,"https://github.com/Hygieia/Hygieia/raw/9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2/api/src/test/java/com/capitalone/dashboard/service/FeatureServiceImplTest.java
https://github.com/Hygieia/Hygieia/raw/9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2/core/src/main/java/com/capitalone/dashboard/repository/ScopeOwnerRepository.java
https://github.com/Hygieia/Hygieia/raw/9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2/jira-feature-collector/src/main/java/com/capitalone/dashboard/client/team/TeamDataClientImpl.java
https://github.com/Hygieia/Hygieia/raw/9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2/versionone-feature-collector/src/main/java/com/capitalone/dashboard/client/team/TeamDataClientImpl.java
https://github.com/Hygieia/Hygieia/raw/9fa8c5b608ddbe7adcb2a986b1780186e65ab8b2/versionone-feature-collector/src/main/java/com/capitalone/dashboard/datafactory/versionone/VersionOneDataFactoryImpl.java
"
033bd5e0a26d3c9831f2978e121007427b62d672,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/033bd5e0a26d3c9831f2978e121007427b62d672/UI/src/index.html
https://github.com/Hygieia/Hygieia/raw/033bd5e0a26d3c9831f2978e121007427b62d672/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/033bd5e0a26d3c9831f2978e121007427b62d672/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/033bd5e0a26d3c9831f2978e121007427b62d672/jira-feature-collector/docker/jira-properties-builder.sh
"
4fdd0997992f02bfeed0e5fb53d84c2f847c6690,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/4fdd0997992f02bfeed0e5fb53d84c2f847c6690/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/4fdd0997992f02bfeed0e5fb53d84c2f847c6690/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/4fdd0997992f02bfeed0e5fb53d84c2f847c6690/jira-feature-collector/docker/jira-properties-builder.sh
"
ca29ae4846e655acbee246530458a0f868e269c6,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/ca29ae4846e655acbee246530458a0f868e269c6/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/ca29ae4846e655acbee246530458a0f868e269c6/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/ca29ae4846e655acbee246530458a0f868e269c6/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/5f6c81d70a32ae3669c9eb1a2c12fa8719170282/github-settings.env
https://github.com/Hygieia/Hygieia/raw/5f6c81d70a32ae3669c9eb1a2c12fa8719170282/jira-settings.env
"
5f6c81d70a32ae3669c9eb1a2c12fa8719170282,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/5f6c81d70a32ae3669c9eb1a2c12fa8719170282/.gitignore
"
